id,thumb_kind,captured_at,camera_type,sequence,lat,lon,width,height
128553749263246,2048,1517817095000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579946944444,120.96947,1920,1080
1000461360488326,2048,1517780968000,perspective,WccGaX40NUjR9oaCuKl1Cg,14.580250833333,120.97004277778,1920,1080
160546379319006,2048,1517780947000,perspective,WccGaX40NUjR9oaCuKl1Cg,14.580265833333,120.97007277778,1920,1080
138286414876378,2048,1517816956000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579946944444,120.96947694444,1920,1080
169503528383872,2048,1517807493000,perspective,alJNU-Az-ghlcRugmHjKjg,14.579738888889,120.96942583333,1920,1080
184409060207291,2048,1517807273000,perspective,alJNU-Az-ghlcRugmHjKjg,14.579744722222,120.96942277778,1920,1080
1115666498916584,2048,1517816737000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579951944444,120.96947,1920,1080
299763021807265,2048,1517807128000,perspective,alJNU-Az-ghlcRugmHjKjg,14.579743365406,120.9694209876,1920,1080
2869605916691314,2048,1517819873000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579952777778,120.96947,1920,1080
305647171010790,2048,1517820311000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579947777778,120.96947194444,4000,3000
472035393912053,2048,1517807231000,perspective,alJNU-Az-ghlcRugmHjKjg,14.579746673026,120.96943424866,1920,1080
506279797172074,2048,1517817840000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579950833333,120.96947194444,1920,1080
2981399792139325,2048,1517817231000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579946944444,120.96947,1920,1080
833749373896266,2048,1517820052000,perspective,Ou4nFtmkvL2CreFE3kAtTQ,14.579950833333,120.96947194444,1920,1080
997762405400188,2048,1712391481800,perspective,Jo6sFCgpwO2blPuGNETqZx,14.556367888862,120.99666051748,3840,2160
1000697998419462,2048,1712391106600,perspective,PaI3v582jBHr40nOiekhfg,14.556091684469,120.99862967471,3840,2160
810596076553736,2048,1517807240000,perspective,alJNU-Az-ghlcRugmHjKjg,14.579746628235,120.96943448597,1920,1080
1648583192564936,2048,1712546325000,perspective,eshqyCY5PIjngmN6XVOHAw,14.582666607256,120.9973753379,3840,2160
2591083297755916,2048,1712536972000,perspective,4pFInf8tYN2HsbymULXG9K,14.581560968605,120.99506341035,3840,2160
3521988284779408,2048,1712391073000,perspective,8e0bD9VP5YICfTxtukwovp,14.556560076139,120.9983949552,3840,2160
812514433660897,2048,1712390479000,perspective,FJEfbpsrP4KqGXgSy9LdBZ,14.556761599354,120.99803624731,3840,2160
1995903770811618,2048,1712391084600,perspective,vtl85AULefpqDu3wM7cznY,14.556282557486,120.99848987914,3840,2160
1435077783524389,2048,1563107922000,perspective,yLBQdos6IVHq1bZdIHBKEw,14.582256754082,120.99494850424,4000,3000
1093297025079135,2048,1712537036600,perspective,MXvomqPOpGV2tI4Q7dT0bL,14.583114353085,120.99598763267,3840,2160
7765152403552697,2048,1712391077400,perspective,vtl85AULefpqDu3wM7cznY,14.556295834205,120.99848036512,3840,2160
1069716400790588,2048,1712391093800,perspective,8e0bD9VP5YICfTxtukwovp,14.556254859153,120.99851585523,3840,2160
1617264422394947,2048,1712545759200,perspective,fF7yQtYv4WwNA5RJbi0lhp,14.582752235011,120.99734861258,3840,2160
1002671918162037,2048,1712391099000,perspective,8e0bD9VP5YICfTxtukwovp,14.556229663672,120.99852710273,3840,2160
1898049637324256,2048,1712537467200,perspective,pJnomegIkKiC5zVYcBdDyH,14.581470535778,120.99643484348,3840,2160
320801536095082,2048,1563107876000,perspective,ZY1NMSTrPSFPZC01jo_7TA,14.581580898904,120.99647822017,4000,3000
475992498309239,2048,1712544429600,perspective,Iynal8ANDZ2pkSbeYcVEQo,14.581666480683,120.99477748084,3840,2160
